[Thu Dec 05 01:38:33.071948 2019] [php7:notice] [pid 14523] [client 10.152.20.26:62453] PHP Notice:  Undefined index: PHP_AUTH_PW in /home/urmxrpcd-m2/app/models/API.php on line 28
[Thu Dec 05 01:39:29.765121 2019] [php7:notice] [pid 14813] [client 10.152.20.26:62491] PHP Notice:  Undefined index: PHP_AUTH_USER in /home/urmxrpcd-m2/app/models/API.php on line 27
[Thu Dec 05 01:39:29.765156 2019] [php7:notice] [pid 14813] [client 10.152.20.26:62491] PHP Notice:  Undefined index: PHP_AUTH_PW in /home/urmxrpcd-m2/app/models/API.php on line 28
[Thu Dec 05 01:41:41.208064 2019] [php7:notice] [pid 15137] [client 10.152.20.26:62544] PHP Notice:  Undefined variable: token in /home/urmxrpcd-m2/app/controllers/Users.php on line 65
[Thu Dec 05 01:41:41.208095 2019] [php7:notice] [pid 15137] [client 10.152.20.26:62544] PHP Notice:  Undefined variable: token in /home/urmxrpcd-m2/app/controllers/Users.php on line 67
[Thu Dec 05 03:59:53.866529 2019] [php7:notice] [pid 34066] [client 10.152.20.26:64721] PHP Notice:  Undefined index: login in /home/urmxrpcd-m2/app/controllers/Users.php on line 16, referer: http://urmxrpcd-m3.wsr.ru/
[Thu Dec 05 03:59:53.866564 2019] [php7:notice] [pid 34066] [client 10.152.20.26:64721] PHP Notice:  Undefined index: pass in /home/urmxrpcd-m2/app/controllers/Users.php on line 17, referer: http://urmxrpcd-m3.wsr.ru/
[Thu Dec 05 03:59:53.866577 2019] [php7:notice] [pid 34066] [client 10.152.20.26:64721] PHP Notice:  Undefined index: first_name in /home/urmxrpcd-m2/app/controllers/Users.php on line 18, referer: http://urmxrpcd-m3.wsr.ru/
[Thu Dec 05 03:59:53.866582 2019] [php7:notice] [pid 34066] [client 10.152.20.26:64721] PHP Notice:  Undefined index: surname in /home/urmxrpcd-m2/app/controllers/Users.php on line 18, referer: http://urmxrpcd-m3.wsr.ru/
[Thu Dec 05 04:00:21.897971 2019] [php7:notice] [pid 34198] [client 10.152.20.26:64735] PHP Notice:  Undefined index: login in /home/urmxrpcd-m2/app/controllers/Users.php on line 16, referer: http://urmxrpcd-m3.wsr.ru/
[Thu Dec 05 04:00:21.898011 2019] [php7:notice] [pid 34198] [client 10.152.20.26:64735] PHP Notice:  Undefined index: pass in /home/urmxrpcd-m2/app/controllers/Users.php on line 17, referer: http://urmxrpcd-m3.wsr.ru/
[Thu Dec 05 04:00:21.898024 2019] [php7:notice] [pid 34198] [client 10.152.20.26:64735] PHP Notice:  Undefined index: first_name in /home/urmxrpcd-m2/app/controllers/Users.php on line 18, referer: http://urmxrpcd-m3.wsr.ru/
[Thu Dec 05 04:00:21.898036 2019] [php7:notice] [pid 34198] [client 10.152.20.26:64735] PHP Notice:  Undefined index: surname in /home/urmxrpcd-m2/app/controllers/Users.php on line 18, referer: http://urmxrpcd-m3.wsr.ru/
[Thu Dec 05 23:56:26.892503 2019] [php7:notice] [pid 61092] [client 10.152.20.29:61424] PHP Notice:  Undefined index: login in /home/urmxrpcd-m2/app/controllers/Users.php on line 16
[Thu Dec 05 23:56:26.892544 2019] [php7:notice] [pid 61092] [client 10.152.20.29:61424] PHP Notice:  Undefined index: pass in /home/urmxrpcd-m2/app/controllers/Users.php on line 17
[Thu Dec 05 23:56:26.892552 2019] [php7:notice] [pid 61092] [client 10.152.20.29:61424] PHP Notice:  Undefined index: first_name in /home/urmxrpcd-m2/app/controllers/Users.php on line 18
